Date,Flow
1931-01-28,1850
1931-01-29,1970
1931-01-30,2040
1931-01-31,3470
1931-02-01,4340
1931-02-02,3620
1931-02-03,3200
1931-02-04,2800
1931-02-05,2530
1931-02-06,2320
1931-02-07,2240
1931-02-08,1800
1931-02-09,1900
1931-02-10,2160
1931-02-11,2690
1931-02-12,2940
1931-02-13,4770
1931-02-14,5820
1931-02-15,4680
1931-02-16,4340
1931-02-17,3800
1931-02-18,3830
1931-02-19,3770
1931-02-20,3680
1931-02-21,3830
1931-02-22,4680
1931-02-23,5420
1931-02-24,5230
1931-02-25,4860
1931-02-26,4340
1931-02-27,3830
1931-02-28,3380
1931-03-01,3200
1931-03-02,3470
1931-03-03,3710
1931-03-04,5360
1931-03-05,7090
1931-03-06,6020
1931-03-07,5420
1931-03-08,5230
1931-03-09,6090
1931-03-10,7560
1931-03-11,7090
1931-03-12,6020
1931-03-13,5820
1931-03-14,5230
1931-03-15,4680
1931-03-16,4020
1931-03-17,3860
1931-03-18,4020
1931-03-19,4020
1931-03-20,5040
1931-03-21,5040
1931-03-22,4860
1931-03-23,4680
1931-03-24,4860
1931-03-25,4860
1931-03-26,4680
1931-03-27,5040
1931-03-28,5040
1931-03-29,9340
1931-03-30,23700
1931-03-31,26600
1931-04-01,23500
1931-04-02,30700
1931-04-03,36100
1931-04-04,28900
1931-04-05,21000
1931-04-06,20200
1931-04-07,23500
1931-04-08,22600
1931-04-09,22600
1931-04-10,20200
1931-04-11,19400
1931-04-12,19800
1931-04-13,17000
1931-04-14,14200
1931-04-15,11400
1931-04-16,9680
1931-04-17,8550
1931-04-18,7560
1931-04-19,6860
1931-04-20,6220
1931-04-21,5620
1931-04-22,5230
1931-04-23,7220
1931-04-24,9280
1931-04-25,15000
1931-04-26,15000
1931-04-27,13400
1931-04-28,12800
1931-04-29,12400
1931-04-30,11400
1931-05-01,9680
1931-05-02,8300
1931-05-03,7560
1931-05-04,6640
1931-05-05,6220
1931-05-06,5620
1931-05-07,5230
1931-05-08,5230
1931-05-09,8550
1931-05-10,19000
1931-05-11,17800
1931-05-12,13800
1931-05-13,11400
1931-05-14,11100
1931-05-15,28000
1931-05-16,28900
1931-05-17,21000
1931-05-18,16600
1931-05-19,12800
1931-05-20,10800
1931-05-21,9680
1931-05-22,11700
1931-05-23,21000
1931-05-24,29800
1931-05-25,31600
1931-05-26,23500
1931-05-27,18600
1931-05-28,15000
1931-05-29,12000
1931-05-30,9900
1931-05-31,8550
1931-06-01,9350
1931-06-02,10500
1931-06-03,11100
1931-06-04,10200
1931-06-05,9080
1931-06-06,7800
1931-06-07,6640
1931-06-08,6860
1931-06-09,6860
1931-06-10,6020
1931-06-11,5820
1931-06-12,5420
1931-06-13,4860
1931-06-14,4340
1931-06-15,3830
1931-06-16,5230
1931-06-17,4860
1931-06-18,9080
1931-06-19,10800
1931-06-20,7800
1931-06-21,6020
1931-06-22,4510
1931-06-23,4340
1931-06-24,5620
1931-06-25,4180
1931-06-26,4180
1931-06-27,6020
1931-06-28,6020
1931-06-29,4680
1931-06-30,3710
1931-07-01,3650
1931-07-02,6430
1931-07-03,5040
1931-07-04,3260
1931-07-05,2750
1931-07-06,4340
1931-07-07,5620
1931-07-08,5620
1931-07-09,6020
1931-07-10,6220
1931-07-11,6430
1931-07-12,9350
1931-07-13,10800
1931-07-14,7800
1931-07-15,6220
1931-07-16,5230
1931-07-17,4510
1931-07-18,6020
1931-07-19,8800
1931-07-20,9680
1931-07-21,9680
1931-07-22,8300
1931-07-23,8300
1931-07-24,9350
1931-07-25,7800
1931-07-26,6430
1931-07-27,7090
1931-07-28,5420
1931-07-29,4340
1931-07-30,4020
1931-07-31,3530
1931-08-01,3260
1931-08-02,2910
1931-08-03,2640
1931-08-04,2830
1931-08-05,3260
1931-08-06,3770
1931-08-07,3260
1931-08-08,3140
1931-08-09,3350
1931-08-10,3860
1931-08-11,6640
1931-08-12,6430
1931-08-13,4510
1931-08-14,3620
1931-08-15,2910
1931-08-16,2500
1931-08-17,2290
1931-08-18,2090
1931-08-19,2160
1931-08-20,2090
1931-08-21,2060
1931-08-22,2420
1931-08-23,2890
1931-08-24,2640
1931-08-25,7620
1931-08-26,13800
1931-08-27,10200
1931-08-28,7800
1931-08-29,6220
1931-08-30,8300
1931-08-31,6430
1931-09-01,5230
1931-09-02,4340
1931-09-03,4020
1931-09-04,3800
1931-09-05,4510
1931-09-06,3650
1931-09-07,3230
1931-09-08,3380
1931-09-09,2830
1931-09-10,2110
1931-09-11,1850
1931-09-12,1780
1931-09-13,1740
1931-09-14,1670
1931-09-15,1690
1931-09-16,1710
1931-09-17,1620
1931-09-18,2190
1931-09-19,1850
1931-09-20,1650
1931-09-21,1180
1931-09-22,1160
1931-09-23,1470
1931-09-24,2110
1931-09-25,2560
1931-09-26,2090
1931-09-27,2370
1931-09-28,2690
1931-09-29,2890
1931-09-30,2860
1931-10-01,3150
1931-10-02,2570
1931-10-03,2650
1931-10-04,2470
1931-10-05,2190
1931-10-06,2020
1931-10-07,1600
1931-10-08,1620
1931-10-09,1580
1931-10-10,1540
1931-10-11,1640
1931-10-12,1340
1931-10-13,1060
1931-10-14,1040
1931-10-15,1130
1931-10-16,1170
1931-10-17,1200
1931-10-18,1100
1931-10-19,992
1931-10-20,1030
1931-10-21,924
1931-10-22,992
1931-10-23,924
1931-10-24,755
1931-10-25,770
1931-10-26,907
1931-10-27,755
1931-10-28,815
1931-10-29,1110
1931-10-30,1340
1931-10-31,1010
1931-11-01,1060
1931-11-02,1010
1931-11-03,845
1931-11-04,907
1931-11-05,1060
1931-11-06,1110
1931-11-07,875
1931-11-08,800
1931-11-09,830
1931-11-10,770
1931-11-11,770
1931-11-12,815
1931-11-13,924
1931-11-14,875
1931-11-15,875
1931-11-16,924
1931-11-17,815
1931-11-18,875
1931-11-19,875
1931-11-20,830
1931-11-21,815
1931-11-22,1240
1931-11-23,1170
1931-11-24,875
1931-11-25,1060
1931-11-26,1060
1931-11-27,1010
1931-11-28,975
1931-11-29,992
1931-11-30,1100
1931-12-01,1030
1931-12-02,1150
1931-12-03,1190
1931-12-04,1130
1931-12-05,1130
1931-12-06,1100
1931-12-07,1170
1931-12-08,1080
1931-12-09,1390
1931-12-10,1770
1931-12-11,1880
1931-12-12,1880
1931-12-13,1790
1931-12-14,2900
1931-12-15,6810
1931-12-16,6580
1931-12-17,6360
1931-12-18,5720
1931-12-19,4760
1931-12-20,4010
1931-12-21,3350
1931-12-22,3070
1931-12-23,2870
1931-12-24,2650
1931-12-25,2680
1931-12-26,2550
1931-12-27,2520
1931-12-28,2420
1931-12-29,2340
1931-12-30,2370
1931-12-31,2370
1932-01-01,2870
1932-01-02,5320
1932-01-03,7040
1932-01-04,7780
1932-01-05,7530
1932-01-06,7040
1932-01-07,8040
1932-01-08,10000
1932-01-09,13600
1932-01-10,15400
1932-01-11,12200
1932-01-12,10900
1932-01-13,9400
1932-01-14,8300
1932-01-15,7280
1932-01-16,6810
1932-01-17,6140
1932-01-18,5720
1932-01-19,5320
1932-01-20,4760
1932-01-21,4410
1932-01-22,4010
1932-01-23,3720
1932-01-24,3500
1932-01-25,3600
1932-01-26,3690
1932-01-27,5320
1932-01-28,5320
1932-01-29,4940
1932-01-30,4760
1932-01-31,5320
1932-02-01,6140
1932-02-02,9400
1932-02-03,8580
1932-02-04,10600
1932-02-05,17500
1932-02-06,58300
1932-02-07,54400
1932-02-08,28800
1932-02-09,20700
1932-02-10,15400
1932-02-11,12500
1932-02-12,10900
1932-02-13,9700
1932-02-14,8580
1932-02-15,7530
1932-02-16,6810
1932-02-17,5930
1932-02-18,5930
1932-02-19,5720
1932-02-20,5320
1932-02-21,5130
1932-02-22,4940
1932-02-23,4580
1932-02-24,4340
1932-02-25,3850
1932-02-26,3910
1932-02-27,3720
1932-02-28,3630
1932-02-29,3560
1932-03-01,3660
1932-03-02,3410
1932-03-03,3270
1932-03-04,3500
1932-03-05,3780
1932-03-06,5130
1932-03-07,8580
1932-03-08,15800
1932-03-09,20200
1932-03-10,15000
1932-03-11,11500
1932-03-12,10300
1932-03-13,9400
1932-03-14,9120
1932-03-15,8040
1932-03-16,7280
1932-03-17,7040
1932-03-18,8580
1932-03-19,10900
1932-03-20,27700
1932-03-21,25600
1932-03-22,20700
1932-03-23,19800
1932-03-24,22600
1932-03-25,23600
1932-03-26,18800
1932-03-27,15400
1932-03-28,25200
1932-03-29,42000
1932-03-30,60000
1932-03-31,54800
1932-04-01,53500
1932-04-02,50900
1932-04-03,41200
1932-04-04,29900
1932-04-05,23600
1932-04-06,18800
1932-04-07,15400
1932-04-08,13200
1932-04-09,12200
1932-04-10,22600
1932-04-11,27700
1932-04-12,27700
1932-04-13,24600
1932-04-14,20200
1932-04-15,17500
1932-04-16,15000
1932-04-17,13200
1932-04-18,11800
1932-04-19,10600
1932-04-20,9700
1932-04-21,9120
1932-04-22,8300
1932-04-23,7780
1932-04-24,7280
1932-04-25,6810
1932-04-26,6360
1932-04-27,6140
1932-04-28,5720
1932-04-29,5930
1932-04-30,6140
1932-05-01,6580
1932-05-02,10000
1932-05-03,20700
1932-05-04,27200
1932-05-05,19300
1932-05-06,14600
1932-05-07,12200
1932-05-08,11500
1932-05-09,10000
1932-05-10,9400
1932-05-11,17200
1932-05-12,52600
1932-05-13,115000
1932-05-14,163000
1932-05-15,102000
1932-05-16,56100
1932-05-17,37600
1932-05-18,28800
1932-05-19,22100
1932-05-20,18400
1932-05-21,15400
1932-05-22,13600
1932-05-23,12200
1932-05-24,10900
1932-05-25,9700
1932-05-26,9120
1932-05-27,8300
1932-05-28,7780
1932-05-29,7280
1932-05-30,6580
1932-05-31,6140
1932-06-01,5520
1932-06-02,5130
1932-06-03,4760
1932-06-04,4580
1932-06-05,4270
1932-06-06,4140
1932-06-07,4040
1932-06-08,3940
1932-06-09,3750
1932-06-10,3600
1932-06-11,3300
1932-06-12,3240
1932-06-13,3070
1932-06-14,3150
1932-06-15,3210
1932-06-16,3630
1932-06-17,4140
1932-06-18,4940
1932-06-19,5130
1932-06-20,4940
1932-06-21,5130
1932-06-22,5130
1932-06-23,4410
1932-06-24,4070
1932-06-25,3560
1932-06-26,3180
1932-06-27,2950
1932-06-28,3040
1932-06-29,3600
1932-06-30,3270
1932-07-01,3040
1932-07-02,3440
1932-07-03,4140
1932-07-04,3440
1932-07-05,3090
1932-07-06,3120
1932-07-07,2980
1932-07-08,3380
1932-07-09,4760
1932-07-10,6810
1932-07-11,6810
1932-07-12,5930
1932-07-13,4410
1932-07-14,3690
1932-07-15,3380
1932-07-16,3040
1932-07-17,3660
1932-07-18,2820
1932-07-19,2650
1932-07-20,2520
1932-07-21,1980
1932-07-22,1930
1932-07-23,2320
1932-07-24,2020
1932-07-25,1680
1932-07-26,1750
1932-07-27,1680
1932-07-28,1470
1932-07-29,1680
1932-07-30,1580
1932-07-31,1410
1932-08-01,1370
1932-08-02,1470
1932-08-03,1470
1932-08-04,1600
1932-08-05,1660
1932-08-06,1640
1932-08-07,1470
1932-08-08,1470
1932-08-09,1430
1932-08-10,1370
1932-08-11,1200
1932-08-12,1130
1932-08-13,1030
1932-08-14,1030
1932-08-15,1010
1932-08-16,860
1932-08-17,845
1932-08-18,860
1932-08-19,1100
1932-08-20,1060
1932-08-21,1280
1932-08-22,1300
1932-08-23,1200
1932-08-24,1110
1932-08-25,1100
1932-08-26,1130
1932-08-27,1240
1932-08-28,1080
1932-08-29,1030
1932-08-30,924
1932-08-31,785
1932-09-01,785
1932-09-02,800
1932-09-03,1390
1932-09-04,3010
1932-09-05,2090
1932-09-06,1490
1932-09-07,2650
1932-09-08,1880
1932-09-09,1470
1932-09-10,1340
1932-09-11,1010
1932-09-12,845
1932-09-13,785
1932-09-14,800
1932-09-15,728
1932-09-16,678
1932-09-17,678
1932-09-18,665
1932-09-19,702
1932-09-20,595
1932-09-21,595
1932-09-22,585
1932-09-23,640
1932-09-24,640
1932-09-25,690
1932-09-26,640
1932-09-27,628
1932-09-28,595
1932-09-29,595
1932-09-30,585
1932-10-01,595
1932-10-02,595
1932-10-03,678
1932-10-04,640
1932-10-05,860
1932-10-06,6460
1932-10-07,6580
1932-10-08,4760
1932-10-09,3320
1932-10-10,2600
1932-10-11,2320
1932-10-12,2120
1932-10-13,1790
1932-10-14,1600
1932-10-15,1680
1932-10-16,1560
1932-10-17,2020
1932-10-18,8900
1932-10-19,38700
1932-10-20,39500
1932-10-21,25100
1932-10-22,15400
1932-10-23,10900
1932-10-24,8300
1932-10-25,6810
1932-10-26,5930
1932-10-27,6580
1932-10-28,6810
1932-10-29,6140
1932-10-30,6140
1932-10-31,6140
1932-11-01,13400
1932-11-02,24100
1932-11-03,13200
1932-11-04,9120
1932-11-05,7780
1932-11-06,7280
1932-11-07,10600
1932-11-08,11500
1932-11-09,9400
1932-11-10,46900
1932-11-11,72300
1932-11-12,54800
1932-11-13,35400
1932-11-14,23600
1932-11-15,17500
1932-11-16,14300
1932-11-17,12200
1932-11-18,10600
1932-11-19,13600
1932-11-20,26600
1932-11-21,42400
1932-11-22,38800
1932-11-23,26100
1932-11-24,19800
1932-11-25,15800
1932-11-26,13600
1932-11-27,12200
1932-11-28,10600
1932-11-29,9400
1932-11-30,8300
1932-12-01,7780
1932-12-02,7280
1932-12-03,6810
1932-12-04,6580
1932-12-05,6360
1932-12-06,6140
1932-12-07,5720
1932-12-08,5720
1932-12-09,5130
1932-12-10,5130
1932-12-11,4940
1932-12-12,4760
1932-12-13,4940
1932-12-14,4760
1932-12-15,5130
1932-12-16,4760
1932-12-17,3470
1932-12-18,2740
1932-12-19,4310
1932-12-20,4240
1932-12-21,4940
1932-12-22,4410
1932-12-23,5520
1932-12-24,5720
1932-12-25,8580
1932-12-26,10000
1932-12-27,12800
1932-12-28,22100
